exclude,Film ,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Oscar,Bafta,Source,,Domestic Gross,Foreign Gross,Worldwide,Budget
,,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,all the-numbers.com,,($),($),($),($)
,P.S. I Love You,Independent,21,82,Love,Romance,2454,2641,53.70,99.40,153.09,30.00,5.1031,6.5,,,,,53695808,99397697,153093505,30000000
,Shrek the Third,Paramount,42,57,Quest,Animation,4122,29507,322.72,476.24,798.96,160.00,4.9935,121.6,,,,,322719944,476238221,798958165,160000000
,Transformers,Paramount,57,89,Monster Force,Action,4011,17577,319.25,389.03,708.27,150.00,4.7218,70.5,,,,,319246193,389026388,708272581,150000000
,Epic Movie,Independent,2,38,Comedy,Comedy,2801,6644,39.74,47.13,86.87,20.00,4.3433,18.6,,,,,39739367,47126197,86865564,20000000
,Premonition,Sony,8,55,The Riddle,Drama,2831,6202,47.85,36.14,84.00,20.00,4.1998,17.6,,,,,47852604,36143751,83996355,20000000
,Ratatouille,Disney,97,84,Transformation,Animation,3940,11935,206.45,414.98,621.42,150.00,4.1428,47,Animated,Animated,,,206445654,414979184,621424838,150000000
,The Bourne Ultimatum,Universal,93,91,Pursuit,Thriller,3660,18929,227.47,215.35,442.82,110.00,4.0257,69.3,,,,,227471070,215351344,442822414,110000000
,Enchanted,Disney,93,80,Love,Comedy,3730,9233,127.81,212.68,340.49,85.00,4.0057,34.4,,,,,127807262,212680390,340487652,85000000
,Sicko,The Weinstein Company,93,87,quest,Documentary,702,5128,24.54,11.23,35.77,9.00,3.9742,3.6,,,,,24540079,11227679,35767758,9000000
,Halloween,The Weinstein Company,26,64,Pursuit,Horror,3472,7592,58.27,20.20,78.47,20.00,3.9235,26.4,,,,,58272029,20197855,78469884,20000000
,I Am Legend,Warner Bros.,69,69,Quest,Thriller,3606,21411,256.39,327.76,584.16,150.00,3.8944,77.2,,,,,256393010,327762415,584155425,150000000
,The Bucket List,Warner Bros.,41,81,discovery,Drama,2911,6661,93.47,80.84,174.31,45.00,3.8736,19.4,,,,,93466502,80843791,174310293,45000000
,Tyler Perry's Why Did I get Married,Independent,46,47,Love,Romance,2011,10618,55.20,0.66,55.86,15.00,3.7242,21.4,,,,,55204525,658361,55862886,15000000
,Michael Clayton,Independent,90,72,Transformation,Thriller,2511,4131,49.03,43.96,92.99,25.00,3.7197,10.4,Supporting Actress,Supporting Actress,,,49033882,43957953,92991835,25000000
,Into the Wild,Paramount,82,90,quest,Drama,658,3249,18.35,37.28,55.63,15.00,3.7090,2.1,,,,,18354356,37280210,55634566,15000000
,Ocean's 13,Warner Bros.,70,74,Revenge,Thriller,3565,10135,117.15,194.16,311.31,85.00,3.6625,36.1,,,,,117154724,194157900,311312624,85000000
,The Kite Runner,Paramount,66,85,Maturation,Drama,715,2243,15.80,57.39,73.19,20.00,3.6597,1.6,,,,,15800078,57393800,73193878,20000000
,Music and Lyrics,Warner Bros.,63,70,Love,Romance,,,50.57,95.32,145.90,40.00,3.6474,13.6,,,,,50572589,95323833,145896422,40000000
,Hostel: Part II,Lionsgate,44,45,Escape,Horror,2350,3490,17.61,18.01,35.62,10.00,3.5620,8.2,,,,,17609452,18010069,35619521,10000000
,National Treasure: Book of Secrets,Disney,31,72,The Riddle,Thriller,3832,11686,219.96,237.40,457.36,130.00,3.5182,44.8,,,,,219964115,237400485,457364600,130000000
,Live Free or Die Hard,Fox,79,86,Rescue,Action,3408,9791,134.53,249.00,383.53,110.00,3.4866,33.4,,,,,134529403,249002043,383531446,110000000
,Spider-Man 3,Sony,61,54,Metamorphosis,Action,4252,35540,336.53,554.34,890.87,258.00,3.4530,151.1,,,,,336530303,554341323,890871626,258000000
,Smokin' Aces,Universal,27,64,Pursuit,Action,2218,6599,35.79,21.32,57.10,17.00,3.3591,14.6,,,,,35787686,21316209,57103895,17000000
y,No Reservations,,39,64,Love,Comedy,2425,4826,43.11,49.49,92.60,28.00,3.3072,11.7,,,,,43107979,49493071,92601050,28000000
,Alien vs. Predator -- Requiem,Fox,14,37,Monster Force,Horror,2611,3853,41.80,87.09,128.88,40.00,3.2221,10,,,,,41797066,87086650,128883716,40000000
,Pirates of the Caribbean: At World's End,Disney,45,74,Rescue,Action,4362,26302,309.42,651.58,961.00,300.00,3.2033,114.7,,,,,309420425,651576067,960996492,300000000
,The Mist,The Weinstein Company,72,64,Monster Force,Horror,2423,3686,25.59,31.24,56.83,18.00,3.1572,8.9,,,,,25593755,31235392,56829147,18000000
,Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros.,86,81,Revenge,Musical,1249,7446,52.90,99.63,152.52,50.00,3.0505,9.3,,,,,52898073,99625091,152523164,50000000
,There Will Be Blood,Paramount,91,84,Wretched Excess,Drama,885,5502,40.22,35.96,76.18,25.00,3.0473,4.9,Best Actor,Leading Actor,,,40222514,35959017,76181531,25000000
,Daddy Day Camp,Sony,1,63,Comedy,Comedy,2332,1459,13.24,4.96,18.20,6.00,3.0329,3.4,,,,,13235267,4962131,18197398,6000000
,Wild Hogs,Disney,14,72,Transformation,Comedy,3287,12077,168.27,85.35,253.63,90.00,2.8181,39.7,,,,,168273550,85351877,253625427,90000000
,Mr. Magorium's Wonder Emporium,Independent,36,56,Transformation,Fantasy,3164,3043,32.06,36.89,68.95,25.00,2.7579,6.9,,,,,32061555,36886258,68947813,25000000
y,TMNT,,33,63,Monster Force,Action,3110,7799,54.15,40.86,95.01,35.00,2.7146,24.3,,,,,54149098,40860790,95009888,35000000
,Hairspray,Warner Bros.,92,84,Underdog,Musical,3121,8803,118.87,83.68,202.55,75.00,2.7006,27.5,,,,,118871849,83676726,202548575,75000000
,American Gangster,Universal,79,87,pursuit,Thriller,3054,14264,130.16,137.74,267.90,100.00,2.6790,43.6,,,,,130164645,137737769,267902414,100000000
,Norbit,Paramount,9,56,Comedy,Comedy,3136,10904,95.67,63.64,159.31,60.00,2.6552,34.2,,,,,95673607,63639954,159313561,60000000
,We Own the Night,Sony,55,63,Sacrifice,Drama,2362,4583,28.56,26.26,54.83,21.00,2.6108,10.8,,,,,28563179,26262756,54825935,21000000
,The Hills Have Eyes 2,Independent,11,50,Monster Force,Horror,2447,3958,20.80,16.66,37.47,15.00,2.4977,9.7,,,,,20804166,16661824,37465990,15000000
,Mr. Brooks,MGM,56,75,Temptation,Thriller,2453,4083,28.55,19.57,48.12,20.00,2.4061,10,,,,,28549298,19572602,48121900,20000000
,Blades of Glory,Paramount,69,66,Rivalry,Comedy,3372,9790,118.59,27.11,145.71,61.00,2.3887,33,,,,,118594548,27114094,145708642,61000000
y,Good Luck Chuck,,3,61,Love,Comedy,2612,5226,35.02,24.17,59.19,25.00,2.3677,13.7,,,,,35017297,24174831,59192128,25000000
,The Nanny Diaries,The Weinstein Company,33,52,Discovery,Comedy,2629,2845,25.93,21.07,47.00,20.00,2.3500,7.5,,,,,25930652,21069299,46999951,20000000
,30 Days of Night,Independent,50,,Monster Force,Horror,2855,5587,39.57,35.53,75.10,32.00,2.3467,15.6,,,,,39568996,35526091,75095087,32000000
,Fantastic Four: Rise of the Silver Surfer,Fox,35,55,Monster Force,Action,3959,14663,131.92,157.13,289.05,130.00,2.2234,58,,,,,131921738,157126025,289047763,130000000
,I Now Pronounce You Chuck and Larry,Universal,13,73,Comedy,Comedy,3495,9795,120.06,65.99,186.05,85.00,2.1889,34.2,,,,,120059556,65994618,186054174,85000000
,The Heartbreak Kid,Paramount,30,41,Love,Comedy,3229,4342,36.79,90.98,127.77,60.00,2.1294,14,,,,,36787257,90979393,127766650,60000000
,Ghost Rider,Sony,28,56,Monster Force,Action,3619,12541,115.80,112.94,228.74,110.00,2.0794,45.3,,,,,115802596,112935797,228738393,110000000
,The Golden Compass,Warner Bros.,42,55,Rescue,Action,3528,7308,70.11,302.13,372.23,180.00,2.0680,25.7,,,,,70107728,302127136,372234864,180000000
,The Darjeeling Limited,Fox,67,79,Journey and Return,Drama,698,2523,11.90,23.02,34.92,17.50,1.9953,1.8,,,,,11897548,23020660,34918208,17500000
,License to Wed,Warner Bros.,8,55,Love,Comedy,2604,4002,43.80,25.51,69.31,35.00,1.9802,10.4,,,,,43799818,25507406,69307224,35000000
,Stardust,Paramount,76,86,Quest,Adventure,2540,3610,38.63,96.92,135.56,70,1.9366,9.16,,,,,,,,
,Bee Movie,Paramount,52,57,Journey and Return,Animation,3928,9679,126.63,160.49,287.12,150.00,1.9142,38,,,,,126631277,160492289,287123566,150000000
,Vacancy,Sony,55,46,Pursuit,Comedy,2551,2980,19.36,15.94,35.30,19.00,1.8579,7.6,,,,,19363565,15937080,35300645,19000000
,Rush Hour 3,Warner Bros.,20,68,Rescue,Action,3778,12996,140.13,117.90,258.02,140.00,1.8430,49.1,,,,,140125968,117896265,258022233,140000000
y,Lions for Lambs,,27,48,Quest,Drama,2215,3025,15.00,48.21,63.21,35.00,1.8060,6.7,,,,,15000115,48209103,63209218,35000000
,In the Land of Women,Warner Bros.,43,72,Transformation,Comedy,2155,2186,11.05,6.51,17.56,10.00,1.7562,4.7,,,,,11052958,6509113,17562071,10000000
,Surf's Up,Sony,78,64,Discovery,Animation,3528,5000,58.87,90.18,149.04,85.00,1.7535,17.6,,,,,58867694,90176819,149044513,85000000
,Meet the Robinsons,Disney,66,75,Quest,Animation,3413,7361,97.82,71.51,169.33,100.00,1.6933,25.1,,,,,97822171,71510807,169332978,100000000
,Charlie Wilson's War,Universal,82,73,Discovery,Biography,2575,3750,66.66,51.81,118.48,75.00,1.5797,9.6,,,,,66661095,51814126,118475221,75000000
y,The Reaping,,9,53,Quest,Horror,2603,3851,25.13,37.64,62.77,40.00,1.5693,10,,,,,25126214,37644845,62771059,40000000
,Shooter,Paramount,47,82,Pursuit,Action,2806,5175,47.00,48.69,95.70,61.00,1.5688,14.5,,,,,47003582,48693414,95696996,61000000
,Nancy Drew,Independent,49,61,The Riddle,Thriller,2612,2615,25.61,5.05,30.67,20.00,1.5333,6.9,,,,,25612520,5054410,30666930,20000000
,3:10 to Yuma,Lionsgate,88,85,sacrifice,Western,2652,5292,53.61,16.17,69.78,50.00,1.3956,14,,,,,53606916,16173815,69780731,50000000
,Beowulf,Paramount,71,52,Journey and Return,Action,3153,8726,82.20,114.07,196.26,150.00,1.3084,27.5,,,,,82195215,114068876,196264091,150000000
,Zodiac,Paramount,89,73,Pursuit,Thriller,2362,5671,33.08,51.71,84.79,65.00,1.3044,13.4,,,,,33080084,51705830,84785914,65000000
y,Pathfinder: Legend of the Ghost Warrior,,11,41,Rescue,Action,1720,2907,10.23,20.59,30.82,26.00,1.1855,5,,,,,10232081,20590780,30822861,26000000
y,The Kingdom,,52,78,Quest,Action,2793,6135,47.54,39.07,86.61,80.00,1.0826,17.1,,,,,47536778,39072011,86608789,80000000
,Next,Paramount,29,59,Pursuit,Thriller,2725,2617,18.21,55.33,73.54,70.00,1.0506,7.1,,,,,18211013,55330487,73541500,70000000
y,The Brave One,,43,65,Rivalry,Action,2755,4889,36.79,32.99,69.79,70.00,0.9970,13.5,,,,,36793804,32993859,69787663,70000000
,Evan Almighty,Universal,23,56,Comedy,Comedy,3604,8654,100.46,72.93,173.39,175.00,0.9908,31.2,,,,,100462298,72929590,173391888,175000000
,Dragon Wars (aka D-War),Mediaplex,27,44,Monster Force,Action,2277,2213,10.98,63.27,74.25,75.00,0.9900,5,,,,,10977721,63274132,74251853,75000000
,Happily N'Ever After,Lionsgate,4,43,Maturation,Animation,2381,2775,15.59,22.50,38.08,47.00,0.8103,6.6,,,,,15589393,22495398,38084791,47000000
,Shoot 'Em Up,Warner Bros.,67,66,Pursuit,Action,2108,2711,12.81,13.91,26.72,39.00,0.6851,5.7,,,,,12807139,13911411,26718550,39000000
,Across the Universe,Independent,54,84,Love,Romance,954,4009,24.34,5.02,29.37,45.00,0.6526,3.8,,,,,24343673,5023470,29367143,45000000
,Walk Hard: The Dewey Cox Story,Sony,75,55,Comedy,Comedy,2650,1575,18.32,2.26,20.58,35.00,0.5879,4.8,,,,,18317151,2258092,20575243,35000000
,The Invasion,Warner Bros.,19,43,Monster Force,Sci-Fi,2776,2143,15.07,25.10,40.17,80.00,0.5021,5.6,,,,,15074191,25096367,40170558,80000000
,Grindhouse,The Weinstein Company,82,86,pursuit,Action,2624,4419,25.04,0.38,25.42,53.00,0.4797,11.6,,,,,25037897,384191,25422088,53000000
