exclude,Film,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget ,Market Profitability,Opening Weekend,Oscar,Bafta,Source,,Domestic Gross,Foreign Gross,worldwide,Budget,budget 
,,,,,,,,($),($m),($m),($m),,% of budget recovered,,,,all boxofficemojo.com except otherwise stated,,($m),($m),($m),($m),
,The Spiderwick Chronicles,Paramount,79,67,fish out of water,Fantasy,3847,4940,71.20,91.64,162.80,92.50,1.7600,19,,,,,71195053,,162.8,92500000,92.5
,The Spirit,Lionsgate,14,29,rivalry,Action,2509,2576,17.75,19.23,21.50,6.00,3.5833,6.5,,,,,17754000,,21.5,6000000,6
,The Strangers,Relativity Media,44,48,Escape,Horror,2466,8515,52.60,29.79,77.60,9.00,8.6222,20.99,,,,,52597610,,77.6,9000000,9
,The Tale of Despereaux,Universal,54,46,Rescue,Animation,3104,3255,50.87,37.84,88.72,55.00,1.6131,10.1,,,,,43742000,,,55000000,55
,The Visitor,Independent,92,83,Transformation,Drama,,,9.43,8.65,18.08,4.00,4.5195,0.09,,,http://www.the-numbers.com/movies/2008/VISTR.php,,9427089,,,4000000,4
,The Women,Warner Bros.,13,41,Transformation,Drama,2962,3415,26.90,23.11,46.10,16.00,2.8813,10.12,,,,,26902075,,46.1,16000000,16
,The X-Files: I Want to Believe,Fox,32,34,monster force,Thriller,3185,3147,20.98,47.39,68.30,35.00,1.9514,10.1,,,,,20982478,,68.3,35000000,35
,Traitor,Liberty Starz,55,66,Pursuit,Thriller,2054,3831,23.53,4.13,25.30,22.00,1.1500,7.9,,,,,23530831,,25.3,22000000,22
,Transporter 3,Independent,36,58,escape,Action,2626,4594,31.72,77.26,60.90,30.00,2.0300,12.06,,,,,31715062,,60.9,30000000,30
,Tropic Thunder,Paramount,83,69,fish out of water,Comedy,3319,7777,110.46,77.58,188.00,90.00,2.0889,25.81,,,,,110461307,,188,90000000,90
,Twilight,Summit,49,82,Love,Romance,3419,20368,176.82,199.85,246.50,37.00,6.6622,69.64,,,,,176815000,,246.5,37000000,37
,Tyler Perry's Meet the Browns,Independent,31,36,Discovery,Drama,2006,10011,41.98,0.00,41.98,20.00,2.0990,20.08,,,,,41975388,,,20000000,20
,Tyler Perry's The Family That Preys,Independent,51,36,Discovery,Drama,2070,8397,37.11,0.00,37.11,10.00,3.7110,17.38,,,,,37105289,,,10000000,10
y,Under the Same Moon,,72,,Quest,,266,10412,12.59,,23.00,1.70,13.5294,2.8,,,,,12590147,,23,1700000,1.7
,Untraceable,Independent,14,56,riddle,Thriller,2368,4795,28.69,23.97,52.50,35.00,1.5000,11.4,,,,,28687835,,52.5,35000000,35
,Valkyrie,MGM,58,66,Sacrifice,Thriller,2711,7756,60.69,117.20,184.00,75.00,2.4533,21.03,,,,,60692000,,184,75000000,75
y,Vantage Point,,36,,The Riddle,,3149,7264,72.27,,151.20,40.00,3.7800,22.87,,,,,72266306,,151.2,40000000,40
,Vicky Cristina Barcelona,The Weinstein Company,82,73,temptation,Romance,692,5427,22.84,,77.20,16.00,4.8250,3.76,,,,,22835000,,77.2,16000000,16
y,W.,,58,,rivalry,,2030,5175,25.53,,29.00,25.10,1.1554,10.5,,,,,25534493,,29,25100000,25.1
,WALL-E,Disney,96,89,love,Animation,3992,15803,223.78,,507.30,180.00,2.8183,63.09,Animated,Animated,,,223783432,,507.3,180000000,180
,Wanted,Universal,73,72,Transformation,Action,3175,16040,134.33,,342.10,75.00,4.5613,50.93,,,,,134327125,,342.1,75000000,75
,"Welcome Home, Roscoe Jenkins",Universal,24,64,discovery,Comedy,2387,6790,42.19,,43.40,27.50,1.5782,16.21,,,,,42193500,,43.4,27500000,27.5
,What Happens in Vegas,Fox,28,72,Love,Comedy,3215,6274,80.28,,219.30,150.00,1.4620,20.17,,,,,80277646,,219.3,150000000,150
,Yes Man,Warner Bros.,43,72,Transformation,Comedy,3434,5318,79.41,,113.40,50.00,2.2680,18.26,,,,,79413000,,113.4,50000000,50
,You Don't Mess with the Zohan,Sony,36,50,fish out of water,Comedy,3462,11130,100.02,,201.80,80.00,2.5225,38.53,,,,,100018837,,201.8,80000000,80
,Zack and Miri Make a Porno,The Weinstein Company,64,70,Love,Romance,3735,3680,31.30,,36.60,24.00,1.5250,10.07,,,,,31301000,,36.6,24000000,24
