exclude,Film ,Lead Studio,Rotten Tomatoes %,Audience  score %,Story,Genre,Number of Theatres in US Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend,Oscar,Bafta,Source,,,,,
,,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,,,,,,
,Gnomeo and Juliet,Disney,56,52,Love,Animation,2994,8469,99.97,94.00,193.97,36,538.80%,25.36,,,http://www.imdb.com/title/tt0377981/,,,,,
,Real Steel,DreamWorks Pictures,58,81,Underdog,Action,3440,7942,83.61,186.20,269.81,110,245.28%,27.32,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/10/movie-projector-real-steel-ides-of-march.html,,,,,
,Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,63,Comedy,Comedy,3167,7500,52.70,19.72,72.42,21,344.84%,23.75,,,http://boxofficemojo.com/movies/?id=diaryofawimpykid2.htm,,,,,
,The Adjustment Bureau,Independant,72,67,Sacrifice,Thriller,2840,7450,62.50,65.37,127.87,50.2,254.72%,21.16,,,http://boxofficemojo.com/movies/?id=adjustmentbureau.htm,,,,,
,Jack and Jill,Happy Madison,4,59,Comedy,Comedy,3438,7273,68.91,15.00,83.91,79,106.22%,25.00,,,http://boxofficemojo.com/movies/?id=jackandjill.htm,,,,,
,Unknown,Independant,55,57,The Riddle,Thriller,3043,7183,63.69,67.10,130.79,30,435.95%,21.86,,,http://boxofficemojo.com/movies/?id=unknownwhitemale11.htm,,,,,
,My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,247,7174,5.31,2.95,8.26,10,82.58%,1.75,,,http://latimesblogs.latimes.com/entertainmentnewsbuzz/2011/11/muppets-arthur-christmas-hugo-box-office.html,,,,,
,Tower Heist,Relativity,68,61,Revenge,Comedy,3367,7135,74.50,47.00,121.50,75,162.01%,24.03,,,http://boxofficemojo.com/movies/?id=towerheist.htm,,,,,
,Contagion,Warner Bros,84,63,The Riddle,Thriller,3222,6935,75.64,59.80,135.44,60,225.74%,22.40,,,http://boxofficemojo.com/movies/?id=contagion.htm,,,,,
,Limitless,Virgin,69,73,Wretched Excess,Thriller,2756,6860,79.25,82.60,161.85,27,599.44%,18.91,,,http://boxofficemojo.com/movies/?id=darkfields.htm,,,,,
,Moneyball,Columbia,95,89,Underdog,Drama,2993,6516,74.21,27.90,102.11,50,204.22%,19.50,,,http://boxofficemojo.com/movies/?id=moneyball.htm,,,,,
,No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,3018,6512,70.60,77.10,147.70,25,590.80%,19.70,,,http://boxofficemojo.com/movies/?id=friendswithbenefits.htm,,,,,
,Friends With Benefits,Warner Bros,71,68,Temptation,Romance,2926,6364,55.80,93.74,149.54,35,427.26%,18.62,,,http://boxofficemojo.com/movies/?id=friendswithbenefits10.htm,,,,,
,"Crazy, Stupid, Love",Warner Bros,78,81,Discovery,Romance,3020,6326,84.34,58.50,142.84,50,285.68%,19.10,,,http://boxofficemojo.com/movies/?id=crazystupidlove.htm,,,,,
,Sucker Punch,Legendary Pictures,23,48,Quest,Action,3033,6284,36.39,53.40,89.79,82,109.50%,19.06,,,http://boxofficemojo.com/movies/?id=suckerpunch.htm,,,,,
,I Am Number Four,Paramount,32,57,Maturation,Thriller,3154,6167,55.10,89.40,144.50,60,240.83%,19.45,,,http://boxofficemojo.com/movies/?id=iamnumberfour.htm,,,,,
,The Company Men,Weinstein Company,66,55,Discovery,Drama,106,6111,4.40,0.40,4.80,15,32.00%,0.60,,,http://boxofficemojo.com/movies/?id=companymen.htm,,,,,
,The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,2940,6060,48.50,21.20,69.70,70,99.57%,17.80,,,http://boxofficemojo.com/movies/?id=howardvaughnjames.htm,,,,,
,Water For Elephants,20th Century Fox,60,72,Love,Drama,2817,5979,58.71,58.39,117.09,38,308.14%,16.84,,,http://boxofficemojo.com/movies/?id=waterforelephants.htm,,,,,
,The Roommate,Independant,4,29,Monster Force,Horror,2534,5921,37.30,3.19,40.49,16,253.08%,15.00,,,http://boxofficemojo.com/movies/?id=roommate10.htm,,,,,
,Happy Feet 2,Village Roadshow Pictures,41,59,Journey and Return,Animation,3606,5889,57.31,49.20,106.51,135,78.89%,21.24,,,http://boxofficemojo.com/movies/?id=happyfeet2.htm,,,,,
,J.Edgar,Warner Bros,42,84,Wretched Excess,Drama,1910,5873,35.06,??,35.06,35,100.16%,11.22,,,http://boxofficemojo.com/movies/?id=jedgar.htm,,,,,
,Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,3482,5763,80.36,89.94,170.30,80,212.88%,20.07,,,http://boxofficemojo.com/movies/?id=zookeeper.htm,,,,,
,Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,3155,5715,42.59,115.30,157.89,40,394.72%,18.03,,,http://boxofficemojo.com/movies/?id=finaldestination5.htm,,,,,
,Scream 4,Weinstein Company,58,57,Monster Force,Horror,3305,5656,38.18,58.96,97.14,40,242.84%,18.69,,,http://boxofficemojo.com/movies/?id=scream4.htm,,,,,
,Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,3339,5524,68.22,119.14,187.36,55,340.65%,18.45,,,http://boxofficemojo.com/movies/?id=mrpopperspenguins.htm,,,,,
,Insidious,Sony,67,65,Monster Force,Horror,2408,5511,54.01,43.00,97.01,1.5,6467.27%,13.27,,,http://boxofficemojo.com/movies/?id=insidious.htm,,,,,
,Dolphin Tale,Independant,84,81,Quest,Drama,3507,5461,71.08,16.86,87.95,37,237.69%,19.15,,,http://boxofficemojo.com/movies/?id=dolphintale.htm,,,,,
,The Debt,Universal,76,70,Pursuit,Thriller,1826,5427,31.18,14.25,45.43,20,227.15%,9.91,,,http://boxofficemojo.com/movies/?id=debt.htm,,,,,
,Beastly,CBS Films,19,50,Metamorphosis,Romance,1952,5047,27.87,0.97,28.83,17,169.61%,9.85,,,http://boxofficemojo.com/movies/?id=beastly.htm,,,,,
,Source Code,Summit Entertainment,92,81,The Riddle,Thriller,2961,5002,54.71,68.57,123.28,32,385.24%,14.81,,,http://boxofficemojo.com/movies/?id=sourcecode.htm,,,,,
