Box Office Average per Cinema,Number of Theatres in Opening Weekend (US),Opening Weekend,Proftitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Oscar,Bafta
3020,2784,8.4,266.43%,93.25,29.01,64.23,35,Nanny McPhee Returns,Universal,77,54,Comedy,Comedy,,
2997,2722,8.2,101.54%,52.8,24.08,28.72,52,From Paris with Love,Independent,38,57,Pursuit,Action,,
29252,4380,128.1,311.05%,622.1,312.43,309.62,200,Iron Man 2,Paramount,74,80,Rivalry,Action,,
27385,4028,110.3,531.58%,1063.16,415,648.16,200,Toy Story 3,Disney,99,91,Rescue,Animation,,
2552,2564,6.54,139.17%,41.75,21.15,20.6,30,The Next Three Days,Lionsgate,51,66,Rescue,Crime,,
2477,2546,6.3,211.95%,237.38,42,194,112,Gulliver's Travels,Fox,21,31,Journey and Return,Comedy,,
2430,2521,6.1,57.53%,18.41,13.79,4.62,32,Repo Men,Universal,22,43,Rescue,Action,,
2420,2211,5.4,108.42%,28.19,13.26,14.93,26,Case 39,Independent,23,42,Monster Force,Horror,,
23734,4,0.09,33.73%,5.06,4.36,0.7,15,Solitary Man,Independent,81,47,Wretched Excess,Comedy,,
2359,2549,6,48.81%,15.13,12.07,3.07,31,Extraordinary Measures,CBS,27,55,Underdog,Drama,,
2333,916,0.26,337.39%,60.73,18.33,42.4,18,127 Hours,Independent,93,84,Escape,Adventure,,
2272,3030,6.9,131.41%,42.05,17.8,24.25,32,Going the Distance,Warner Bros.,53,56,Love,Comedy,,
2211,2997,6.6,102.77%,35.97,17.63,18.34,35,Furry Vengeance,Summit,8,36,Comedy,Comedy,,
1904,2825,5.4,23.19%,10.9,10.55,0.36,47,Jonah Hex,Warner Bros.,13,24,Revenge,Action,,
16557,3792,62.8,514.74%,823.58,292.58,531,160,Inception,Warner Bros.,86,93,Journey and Return,Action,,
16343,3081,50.4,849.75%,169.95,117.19,52.76,20,Jackass 3-D,Paramount,63,72,Comedy,Documentary,,
16251,4359,70.8,453.82%,748.8,238.74,510.06,165,Shrek Forever After,Paramount,57,64,Journey and Return,Animation,,
16225,3476,56.4,785.33%,541.88,251.38,290.5,69,Despicable Me,Universal,81,81,Maturation,Animation,,
16213,3777,61.2,394.57%,493.21,163.21,330,125,Clash of the Titans,Warner Bros.,28,48,Quest,Action,,
1585,2551,4,93.20%,9.32,8.53,0.8,10,MacGruber,Independent,47,33,Comedy,Action,,
15351,3655,56.2,416.33%,216.49,110.49,106,52,Valentine's Day,Warner Bros.,17,54,Love,Comedy,,
15197,3663,55.7,897.83%,359.13,176.59,182.53,40,The Karate Kid,Sony,66,75,Underdog,Action,,
14510,4468,64.8,1019.97%,693.58,300.53,393.05,68,The Twilight Saga: Eclipse,Summit,50,74,Monster Force,Drama,,
13729,2991,41,368.50%,294.8,128.01,166.79,80,Shutter Island,Paramount,68,73,The Riddle,Drama,,
13591,2155,29.3,303.35%,60.67,60.09,0.58,20,Why Did I Get Married Too?,Lionsgate,27,67,Comedy,Comedy,,
13535,3603,48.77,136.57%,355.08,175.78,179.3,260,Tangled,Disney,89,88,Love,Animation,,
12725,3169,40.3,212.75%,319.12,131.77,187.35,150,The Last Airbender,Paramount,6,42,Quest,Action,,
12649,3216,40.67,5917.00%,177.51,84.75,92.75,3,Paranormal Activity 2,Paramount,,,Monster Force,Horror,,
12628,6,0.075,38.18%,8.4,1.81,6.59,22,Stone,Independent,49,20,Rivalry,Drama,,
12578,3451,44.03,171.42%,291.41,148.21,143.2,170,Tron: Legacy,Independent,50,67,Fish Out Of Water,Action,,
11462,3534,40.5,334.25%,267.4,161.9,105.5,80,Grown Ups,Independent,10,59,Comedy,Comedy,,
10785,4055,43.7,299.93%,494.88,217.58,277.3,165,How to Train Your Dragon,Paramount,98,90,Underdog,Animation,,
10650,3270,34.8,334.72%,274.47,103.07,171.4,82,The Expendables,Independent,40,58,Pursuit,Action,,
10540,3111,32.7,191.81%,153.45,94.84,58.62,80,The Book of Eli,Independent,48,68,Quest,Action,,
10295,3503,36,160.84%,321.67,105.27,216.4,200,Robin Hood,Universal,42,59,Rivalry,Action,,
10262,2969,30.4,459.92%,114.98,80.01,34.96,25,Dear John,Sony,29,66,Love,Drama,,
($),,($m),% of budget recovered,($m),($m),($m),($m),,,,,,,,
,?,0.8,390.00%,7.8,6.25,1.54,2,Winter's Bone,Independent,94,73,Quest,Drama,,
,402,0.16,121.18%,26.66,3.24,23.42,22,You Will Meet a Tall Dark Stranger,Independent,43,35,Love,Comedy,,
,4,2,133.38%,60.02,15.54,44.48,45,The Ghost Writer,Independent,83,68,The Riddle,Mystery,,
,4,0.43,69.57%,4.87,1.11,3.76,7,Mother and Child,Independent,79,61,Transformation,Drama,,
,2,0.032,131.00%,7.86,6.67,1.19,6,City Island,Independent,81,77,Transformation,Comedy,,
,100,0.11,134.00%,20.1,1.44,18.66,15,I Love You Phillip Morris,Independent,71,57,Love,Comedy,,
,,11.1,27.54%,3.58,0.22,3.36,13,The Killer Inside Me,Independent,56,41,The Riddle,Crime,,
,,0.51,64.10%,6.41,1.48,0.49,10,The Joneses,Independent,61,47,Temptation,Comedy,,
,,0.3,6.83%,0.41,0.11,0.3,6,The Greatest,Independent,52,39,Discovery,Drama,,
